"type	latitude	longitude	altitude (ft)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc"
"T	39.078067000	-94.432398000	920.9	1.607	62.31"
"T	39.077402000	-94.432421000	936.1	1.653	242.30"
"T	39.076689000	-94.432451000	951.3	1.702	259.83"
"T	39.075834000	-94.432487000	955.7	1.761	311.58"
"T	39.074982000	-94.432522000	950.0	1.820	310.48"
"T	39.073866000	-94.432562000	955.4	1.897	406.64"
"T	39.073300000	-94.432581000	958.9	1.936	206.22"
"T	39.072979000	-94.432593000	960.0	1.958	116.97"
"T	39.072751000	-94.432602000	960.3	1.974	83.08"
"T	39.072609000	-94.432607000	960.4	1.984	51.74"
"T	39.072421000	-94.432614000	960.7	1.997	68.50"
"T	39.072364000	-94.432616000	960.7	2.001	20.77"
"T	39.072331000	-94.432618000	960.8	2.003	12.03"
"T	39.071792000	-94.432638000	961.2	2.040	196.40"
"T	39.071641000	-94.432644000	960.5	2.051	55.02"
"T	39.069343000	-94.432736000	932.6	2.209	837.40"
"T	39.068498000	-94.432776000	922.3	2.268	307.98"
"T	39.067407000	-94.432828000	904.7	2.343	397.65"
"T	39.066925000	-94.432850000	901.2	2.376	175.67"
"T	39.066626000	-94.432864000	899.2	2.397	108.98"
"T	39.066197000	-94.432884000	900.8	2.427	156.36"
"T	39.065839000	-94.432901000	901.5	2.451	130.48"
"T	39.065783000	-94.432904000	901.7	2.455	20.41"
"T	39.065257000	-94.432929000	904.9	2.491	191.72"
"T	39.064763000	-94.432950000	905.3	2.526	180.03"
"T	39.064007000	-94.432985000	903.7	2.578	275.54"
"T	39.063761000	-94.432996000	902.9	2.595	89.65"
"T	39.063453000	-94.433010000	902.6	2.616	112.25"
"T	39.062770000	-94.433038000	904.3	2.663	248.89"
"T	39.061601000	-94.433090000	905.5	2.744	426.04"
"T	39.060513000	-94.433125000	907.6	2.819	396.40"
"T	39.059758000	-94.433157000	917.6	2.871	275.14"
"T	39.058009000	-94.433230000	944.4	2.992	637.37"
"T	39.057021000	-94.433275000	958.5	3.060	360.08"
"T	39.056060000	-94.433322000	970.2	3.126	350.28"
"T	39.055005000	-94.433374000	986.1	3.199	384.54"
"T	39.054540000	-94.433397000	991.0	3.231	169.49"
"T	39.054086000	-94.433419000	997.6	3.262	165.48"
"T	39.053614000	-94.433442000	1004.1	3.295	172.04"
"T	39.053125000	-94.433466000	1008.6	3.329	178.24"
"T	39.051313000	-94.433531000	1016.2	3.454	660.24"
"T	39.050879000	-94.433547000	1019.2	3.484	158.14"
"T	39.050819000	-94.433549000	1019.4	3.488	21.86"
"T	39.050855000	-94.434879000	999.4	3.560	377.95"
"T	39.050867000	-94.435350000	1005.9	3.585	133.84"
"T	39.050898000	-94.436486000	1008.7	3.646	322.83"
"T	39.050902000	-94.436587000	1007.3	3.651	28.72"
"T	39.050915000	-94.436954000	1002.0	3.671	104.34"
"T	39.050924000	-94.437209000	997.4	3.685	72.50"
"T	39.050936000	-94.437555000	993.2	3.704	98.36"
"T	39.050986000	-94.438959000	1000.0	3.779	399.16"
"T	39.051080000	-94.441059000	1030.5	3.892	597.39"
"T	39.051090000	-94.441275000	1033.2	3.904	61.45"
"T	39.051131000	-94.442196000	1039.8	3.954	261.99"
"T	39.049778000	-94.441848000	1039.5	4.049	502.61"
"T	39.049342000	-94.441736000	1038.8	4.079	161.96"
"T	39.049165000	-94.441694000	1038.0	4.092	65.56"
"T	39.048933000	-94.441603000	1037.6	4.109	88.36"
"T	39.048766000	-94.441502000	1038.2	4.121	67.25"
"T	39.048644000	-94.441405000	1037.7	4.131	52.28"
"T	39.048483000	-94.441235000	1037.9	4.146	75.96"
"T	39.048364000	-94.441061000	1036.9	4.158	65.73"
"T	39.047999000	-94.440458000	1041.3	4.199	216.80"
"T	39.047890000	-94.440253000	1046.3	4.213	70.47"
"T	39.047852000	-94.440198000	1047.1	4.216	20.87"
"T	39.047732000	-94.440022000	1048.4	4.229	66.40"
"T	39.047540000	-94.439824000	1051.7	4.246	89.74"
"T	39.047338000	-94.439679000	1046.5	4.262	84.32"
"T	39.047042000	-94.439507000	1031.2	4.284	118.36"
"T	39.047010000	-94.439488000	1031.2	4.287	12.84"
"T	39.046684000	-94.439341000	1039.3	4.311	125.86"
"T	39.046550000	-94.439296000	1049.3	4.320	50.45"
"T	39.046305000	-94.439212000	1047.1	4.338	92.37"
"T	39.046207000	-94.439180000	1045.8	4.345	36.83"
"T	39.045918000	-94.439112000	1041.0	4.365	107.02"
"T	39.045277000	-94.438967000	1034.1	4.410	237.07"
"T	39.045125000	-94.438935000	1042.2	4.421	56.10"
"T	39.044864000	-94.438880000	1042.1	4.439	96.34"
"T	39.044743000	-94.438848000	1043.1	4.447	45.00"
"T	39.044555000	-94.438798000	1044.4	4.461	69.93"
"T	39.044432000	-94.438765000	1045.3	4.469	45.77"
"T	39.044293000	-94.438727000	1046.3	4.479	51.77"
"T	39.044155000	-94.438683000	1047.5	4.489	51.79"
"T	39.044061000	-94.438653000	1048.6	4.495	35.28"
"T	39.044024000	-94.438637000	1049.1	4.498	14.22"
"T	39.043738000	-94.438512000	1050.5	4.519	110.05"
"T	39.043559000	-94.438409000	1051.4	4.533	71.46"
"T	39.043369000	-94.438272000	1051.4	4.548	79.39"
"T	39.043289000	-94.438204000	1051.3	4.554	34.96"
"T	39.043230000	-94.438154000	1051.3	4.559	25.76"
"T	39.043162000	-94.438096000	1051.2	4.565	29.75"
"T	39.043091000	-94.438029000	1051.2	4.571	32.11"
"T	39.042869000	-94.437817000	1051.0	4.590	100.82"
"T	39.042646000	-94.437605000	1050.8	4.609	101.11"
"T	39.042206000	-94.437187000	1049.9	4.647	199.45"
"T	39.042035000	-94.437086000	1048.7	4.660	68.57"
"T	39.041949000	-94.437052000	1048.3	4.666	32.78"
"T	39.041845000	-94.437011000	1047.8	4.674	39.63"
"T	39.041649000	-94.436970000	1046.7	4.687	72.33"
"T	39.041511000	-94.436965000	1046.0	4.697	50.28"
"T	39.041475000	-94.436964000	1046.0	4.699	13.12"
"T	39.040102000	-94.437045000	1043.5	4.794	500.61"
"T	39.039875000	-94.437054000	1043.9	4.810	82.72"
"T	39.038797000	-94.437096000	1043.9	4.884	392.82"
"T	39.038117000	-94.437123000	1041.9	4.931	247.79"
"T	39.037754000	-94.437150000	1041.5	4.956	132.44"
"T	39.037617000	-94.437193000	1041.1	4.966	51.37"
"T	39.037486000	-94.437261000	1040.6	4.976	51.48"
"T	39.037305000	-94.437405000	1040.4	4.990	77.58"
"T	39.037176000	-94.437559000	1039.8	5.002	64.20"
"T	39.037117000	-94.437652000	1039.7	5.009	34.05"
"T	39.037109000	-94.437665000	1039.7	5.010	4.70"
"T	39.037052000	-94.437782000	1039.7	5.017	39.19"
"T	39.036956000	-94.437981000	1040.1	5.030	66.47"
"T	39.036766000	-94.438264000	1041.8	5.050	106.07"
"T	39.036720000	-94.438312000	1042.1	5.054	21.60"
"T	39.036644000	-94.438391000	1042.6	5.061	35.63"
"T	39.036521000	-94.438475000	1042.9	5.070	50.76"
"T	39.036438000	-94.438548000	1042.6	5.077	36.66"
"T	39.036221000	-94.438678000	1042.7	5.094	87.24"
"T	39.036176000	-94.438698000	1042.5	5.097	17.35"
"T	39.035994000	-94.438777000	1041.5	5.110	69.98"
"T	39.035657000	-94.438862000	1039.6	5.134	125.10"
"T	39.034720000	-94.438915000	1036.1	5.199	341.61"
"T	39.033725000	-94.438954000	1038.5	5.267	362.57"
"T	39.032364000	-94.439012000	1040.4	5.361	495.99"
"T	39.031574000	-94.439057000	1035.6	5.416	288.02"
"T	39.030639000	-94.439110000	1027.7	5.480	340.88"
"T	39.030433000	-94.439133000	1026.5	5.495	75.31"
"T	39.030381000	-94.439147000	1026.4	5.498	19.35"
"T	39.030260000	-94.439179000	1026.4	5.507	45.00"
"T	39.030200000	-94.439195000	1026.5	5.511	22.32"
"T	39.029935000	-94.439294000	1027.0	5.530	100.53"
"T	39.029631000	-94.439431000	1028.5	5.552	117.37"
"T	39.029305000	-94.439649000	1028.5	5.578	133.92"
"T	39.029023000	-94.439928000	1028.6	5.602	129.74"
"T	39.028966000	-94.439987000	1028.2	5.607	26.68"
"T	39.028265000	-94.440702000	1028.8	5.669	326.27"
"T	39.028074000	-94.440898000	1028.7	5.686	89.11"
"T	39.027989000	-94.440984000	1028.7	5.694	39.44"
"T	39.027624000	-94.441282000	1026.8	5.723	157.61"
"T	39.027339000	-94.441460000	1024.3	5.745	115.47"
"T	39.027015000	-94.441629000	1019.4	5.769	127.40"
"T	39.026988000	-94.441643000	1019.1	5.771	10.61"
"T	39.026659000	-94.441752000	1016.7	5.795	123.77"
"T	39.026459000	-94.441830000	1014.9	5.809	76.14"
"T	39.026299000	-94.441887000	1013.1	5.821	60.48"
"T	39.026112000	-94.441953000	1011.1	5.834	70.64"
"T	39.025902000	-94.442053000	1009.9	5.850	81.59"
"T	39.025734000	-94.442147000	1007.8	5.862	66.76"
"T	39.025553000	-94.442303000	1006.4	5.877	79.44"
"T	39.025399000	-94.442487000	1006.0	5.892	76.67"
"T	39.025282000	-94.442672000	1004.6	5.905	67.66"
"T	39.025179000	-94.442855000	1004.1	5.917	64.11"
"T	39.025095000	-94.443053000	1003.5	5.929	64.03"
"T	39.025038000	-94.443231000	1002.4	5.939	54.67"
"T	39.024863000	-94.444013000	1001.9	5.983	231.13"
"T	39.024518000	-94.445570000	1006.8	6.070	459.86"
"T	39.024394000	-94.445937000	1008.0	6.092	113.63"
"T	39.024272000	-94.446182000	1008.8	6.107	82.58"
"T	39.024183000	-94.446315000	1008.4	6.117	49.79"
"T	39.024084000	-94.446444000	1008.8	6.126	51.41"
"T	39.023968000	-94.446573000	1008.9	6.137	55.93"
"T	39.023767000	-94.446747000	1008.3	6.154	88.34"
"T	39.023519000	-94.446916000	1007.5	6.173	102.30"
"T	39.023318000	-94.447022000	1006.6	6.188	79.16"
